Mode,SeedGroup,Method,Seed,Rounds,ExpectedPayoff,WorstCaseQ5,CE_055,SCShare,EpsNE,RuntimeSec
concentrated,holdout,Proposed-Coherent,53,28,0.740875132453098,0.731101359876438,0.735499557535935,1.14996634136185e-05,4.66754617733933e-07,0.743887
concentrated,holdout,Isobe-APP,53,42,0.842992358081251,0.37950948743327,0.588076779224861,0.999952563285734,NaN,0.0082713
concentrated,holdout,RQE,53,23,0.795393510890556,0.623871466508907,0.701056386480649,0.389135516637,NaN,1.6504364
concentrated,holdout,MF-RQE,53,21,0.777154269271935,0.656681116948101,0.710894035493826,0.273686364048246,NaN,1.7964036
concentrated,holdout,CVaR-game,53,28,0.740875132453098,0.731101359876438,0.735499557535935,1.14996634136185e-05,NaN,0.710914
concentrated,holdout,DRNE-VI,53,300,0.798238450656226,0.674247012615812,0.730043159733998,0.288843548536262,NaN,0.0085528
concentrated,holdout,Proposed-Base,54,21,0.758508319357886,0.714779970760865,0.734457727629525,0.100751026524648,0.0295115804360551,0.0083276
concentrated,holdout,Proposed-Anneal,54,78,0.77404957523083,0.769968460919853,0.771804962359793,9.53536826376213e-05,0.00315266793322033,0.0156598
concentrated,holdout,Proposed-Coherent,54,28,0.740847916150052,0.730543412958554,0.735180439394728,1.14996634136185e-05,4.66754617733933e-07,0.7431635
concentrated,holdout,Isobe-APP,54,42,0.844239297931897,0.381413993356999,0.589685380415703,0.999952707981876,NaN,0.0048822
concentrated,holdout,MF-RQE,54,21,0.777469679471675,0.656629597482099,0.711007634377408,0.273686364048246,NaN,1.8586554
concentrated,holdout,CVaR-game,54,28,0.740847916150052,0.730543412958554,0.735180439394728,1.14996634136185e-05,NaN,0.7277478
concentrated,holdout,DRNE-VI,54,300,0.798550878377355,0.673788417193241,0.729931524726092,0.288843548536262,NaN,0.0066853
concentrated,holdout,Proposed-Base,55,21,0.758607218055958,0.714982015216359,0.734613356494179,0.100751479843301,0.0295115444942083,0.0052905
concentrated,holdout,Proposed-Anneal,55,78,0.773966576998648,0.769721678545734,0.771631882849545,9.53536826384192e-05,0.00315266793322055,0.0133383
concentrated,holdout,Proposed-Coherent,55,28,0.74090022039846,0.731185127517159,0.735556919313744,1.14996634136185e-05,4.66754617733933e-07,0.7764038
concentrated,holdout,Isobe-APP,55,42,0.845593700630908,0.379300003939854,0.589132167450828,0.999952772122491,NaN,0.0049401
concentrated,holdout,RQE,55,23,0.796329877915771,0.623836758249321,0.701458662099224,0.389135516637,NaN,1.6313906
concentrated,holdout,MF-RQE,55,21,0.77782350247299,0.656856074686775,0.711291417190572,0.273686364048246,NaN,1.7837483
concentrated,holdout,CVaR-game,55,28,0.74090022039846,0.731185127517159,0.735556919313744,1.14996634136185e-05,NaN,0.7087565
concentrated,holdout,DRNE-VI,55,300,0.798887956247418,0.67398838681732,0.730193193060864,0.288843548536262,NaN,0.0067056
concentrated,holdout,Proposed-Base,56,21,0.758593787975583,0.71514895768802,0.734699131317424,0.100751189587268,0.0295114840150792,0.0047134
concentrated,holdout,Proposed-Anneal,56,78,0.774059302072018,0.769956486267882,0.771802753379743,9.53536826379675e-05,0.00315266793322044,0.0156213
concentrated,holdout,Proposed-Coherent,56,28,0.740716002504776,0.731103967890205,0.735429383466762,1.14996634136185e-05,4.66754617733933e-07,0.7682329
concentrated,holdout,Isobe-APP,56,42,0.844839550262106,0.380298062249035,0.589341731854917,0.999952707283144,NaN,0.0090241
concentrated,holdout,RQE,56,23,0.796113243197243,0.624010612423369,0.701456796271612,0.389135516637,NaN,1.635872
concentrated,holdout,MF-RQE,56,21,0.777678264744128,0.656790114457277,0.71118978208636,0.273686364048246,NaN,1.8063928
concentrated,holdout,CVaR-game,56,28,0.740716002504776,0.731103967890205,0.735429383466762,1.14996634136185e-05,NaN,0.7156735
concentrated,holdout,DRNE-VI,56,300,0.798752884502503,0.674090063977746,0.730188333213887,0.288843548536262,NaN,0.0100877
